transfer_id,transfer_date,day_of_week,hour,sender_id,sender_tenure_days,sender_lifetime_transfers,channel,receiver_type,receiver_id,amount_bucket,new_user_activated_30d
T000081,2025-08-22,Friday,16,S00012,175,39,by_card,new_registration,R04175,medium,0.0
T000082,2025-04-13,Sunday,15,S00012,175,39,by_card,external_card,,medium,
T000083,2025-06-09,Monday,8,S00012,175,39,by_card,paynet_user,R00604,large,
T000084,2025-05-20,Tuesday,20,S00012,175,39,by_card,paynet_user,R00594,small,
T000085,2025-06-30,Monday,14,S00012,175,39,by_card,external_card,,small,
T000086,2025-07-06,Sunday,9,S00012,175,39,by_card,external_card,,small,
T000087,2025-08-11,Monday,14,S00012,175,39,by_card,paynet_user,R01348,small,
T000088,2025-04-25,Friday,14,S00012,175,39,by_card,paynet_user,R01816,medium,
T000089,2025-04-29,Tuesday,7,S00013,449,16,by_card,external_card,,medium,
T000090,2025-09-13,Saturday,13,S00013,449,16,by_card,paynet_user,R01319,small,
T000091,2025-05-02,Friday,16,S00013,449,16,by_phone,new_registration,R04957,small,0.0
T000092,2025-04-29,Tuesday,18,S00013,449,16,by_card,external_card,,small,
T000093,2025-09-08,Monday,5,S00013,449,16,by_phone,paynet_user,R01558,small,
T000094,2025-05-21,Wednesday,14,S00014,69,12,by_card,paynet_user,R00897,large,
T000095,2025-09-15,Monday,6,S00014,69,12,by_card,external_card,,small,
T000096,2025-08-06,Wednesday,22,S00014,69,12,by_card,external_card,,small,
T000097,2025-09-02,Tuesday,10,S00014,69,12,by_card,external_card,,small,
T000098,2025-06-30,Monday,21,S00014,69,12,by_card,paynet_user,R00540,medium,
T000099,2025-08-06,Wednesday,18,S00014,69,12,by_card,external_card,,medium,
T000100,2025-06-11,Wednesday,12,S00014,69,12,by_card,paynet_user,R01095,small,
T000101,2025-04-28,Monday,10,S00014,69,12,by_card,external_card,,small,
T000102,2025-08-06,Wednesday,12,S00014,69,12,by_card,paynet_user,R01311,large,
T000103,2025-06-04,Wednesday,21,S00014,69,12,by_qr,paynet_user,R01871,small,
T000104,2025-05-24,Saturday,12,S00015,232,27,by_card,external_card,,large,
T000105,2025-07-18,Friday,9,S00015,232,27,by_card,external_card,,medium,
T000106,2025-06-03,Tuesday,14,S00015,232,27,by_card,external_card,,medium,
T000107,2025-05-06,Tuesday,16,S00015,232,27,by_card,paynet_user,R01089,small,
T000108,2025-08-14,Thursday,15,S00015,232,27,by_card,external_card,,small,
T000109,2025-07-19,Saturday,10,S00015,232,27,by_card,external_card,,medium,
T000110,2025-07-11,Friday,16,S00015,232,27,by_card,external_card,,large,
T000111,2025-04-11,Friday,13,S00015,232,27,by_card,external_card,,small,
T000112,2025-08-26,Tuesday,18,S00015,232,27,by_card,external_card,,small,
T000113,2025-07-12,Saturday,21,S00015,232,27,by_card,external_card,,medium,
T000114,2025-05-07,Wednesday,22,S00015,232,27,by_card,paynet_user,R01154,small,
T000115,2025-05-23,Friday,8,S00016,44,3,by_card,external_card,,large,
T000116,2025-07-26,Saturday,14,S00016,44,3,by_card,external_card,,small,
T000117,2025-08-29,Friday,21,S00016,44,3,by_card,paynet_user,R01178,medium,
T000118,2025-06-12,Thursday,8,S00017,9,1,by_card,external_card,,large,
T000119,2025-09-29,Monday,4,S00017,9,1,by_card,external_card,,small,
T000120,2025-07-16,Wednesday,17,S00017,9,1,by_card,paynet_user,R01369,large,
T000121,2025-04-26,Saturday,18,S00018,571,73,by_card,paynet_user,R01609,large,
T000122,2025-09-13,Saturday,14,S00018,571,73,by_card,new_registration,R04529,medium,0.0
T000123,2025-07-08,Tuesday,15,S00018,571,73,by_card,paynet_user,R01729,small,
T000124,2025-08-13,Wednesday,15,S00018,571,73,by_card,external_card,,small,
T000125,2025-05-18,Sunday,20,S00018,571,73,by_card,external_card,,medium,
T000126,2025-05-02,Friday,21,S00018,571,73,by_card,external_card,,large,
T000127,2025-05-31,Saturday,9,S00018,571,73,by_card,external_card,,medium,
T000128,2025-04-22,Tuesday,20,S00018,571,73,by_card,external_card,,medium,
T000129,2025-06-28,Saturday,11,S00018,571,73,by_card,external_card,,medium,
T000130,2025-08-30,Saturday,8,S00018,571,73,by_phone,new_registration,R03076,small,0.0
T000131,2025-09-18,Thursday,9,S00018,571,73,by_card,external_card,,small,
T000132,2025-09-30,Tuesday,16,S00018,571,73,by_card,paynet_user,R01097,small,
T000133,2025-06-15,Sunday,18,S00018,571,73,by_card,new_registration,R04598,small,0.0
T000134,2025-07-25,Friday,15,S00018,571,73,by_card,external_card,,medium,
T000135,2025-05-31,Saturday,17,S00018,571,73,by_card,paynet_user,R01167,medium,
T000136,2025-08-26,Tuesday,20,S00018,571,73,by_card,external_card,,large,
T000137,2025-08-25,Monday,19,S00018,571,73,by_card,external_card,,small,
T000138,2025-04-15,Tuesday,20,S00018,571,73,by_card,external_card,,small,
T000139,2025-05-22,Thursday,16,S00018,571,73,by_card,external_card,,medium,
T000140,2025-07-04,Friday,9,S00018,571,73,by_card,external_card,,medium,
T000141,2025-04-18,Friday,11,S00018,571,73,by_card,paynet_user,R01976,medium,
T000142,2025-09-22,Monday,14,S00018,571,73,by_card,external_card,,medium,
T000143,2025-05-30,Friday,18,S00018,571,73,by_card,external_card,,small,
T000144,2025-06-15,Sunday,20,S00018,571,73,by_card,external_card,,small,
T000145,2025-04-19,Saturday,13,S00018,571,73,by_card,external_card,,small,
T000146,2025-05-09,Friday,17,S00019,669,26,by_card,external_card,,small,
T000147,2025-07-23,Wednesday,11,S00019,669,26,by_card,external_card,,small,
T000148,2025-06-25,Wednesday,13,S00019,669,26,by_card,external_card,,small,
T000149,2025-06-18,Wednesday,18,S00019,669,26,by_card,paynet_user,R00041,small,
T000150,2025-08-11,Monday,18,S00019,669,26,by_phone,paynet_user,R00013,small,
T000151,2025-05-24,Saturday,20,S00019,669,26,by_card,external_card,,small,
T000152,2025-05-24,Saturday,19,S00019,669,26,by_card,external_card,,small,
T000153,2025-07-22,Tuesday,17,S00019,669,26,by_phone,paynet_user,R01641,small,
T000154,2025-08-29,Friday,17,S00019,669,26,by_card,external_card,,large,
T000155,2025-07-06,Sunday,15,S00019,669,26,by_card,external_card,,medium,
T000156,2025-04-28,Monday,16,S00019,669,26,by_phone,new_registration,R03112,medium,1.0
T000157,2025-06-14,Saturday,19,S00019,669,26,by_card,external_card,,small,
T000158,2025-07-06,Sunday,9,S00019,669,26,by_card,paynet_user,R00257,small,
T000159,2025-07-01,Tuesday,21,S00019,669,26,by_card,external_card,,medium,
T000160,2025-09-02,Tuesday,15,S00019,669,26,by_card,external_card,,small,
T000161,2025-04-26,Saturday,17,S00020,62,4,by_phone,paynet_user,R01345,small,
T000162,2025-06-05,Thursday,17,S00020,62,4,by_card,external_card,,small,
T000163,2025-06-30,Monday,16,S00021,66,9,by_card,paynet_user,R00411,small,
T000164,2025-05-25,Sunday,19,S00021,66,9,by_card,paynet_user,R01674,medium,
T000165,2025-09-25,Thursday,11,S00021,66,9,by_card,paynet_user,R01077,large,
T000166,2025-07-31,Thursday,17,S00021,66,9,by_card,paynet_user,R01082,medium,
T000167,2025-06-09,Monday,14,S00022,130,26,by_card,external_card,,large,
T000168,2025-06-10,Tuesday,13,S00022,130,26,by_phone,new_registration,R02446,medium,0.0
T000169,2025-09-02,Tuesday,17,S00022,130,26,by_phone,new_registration,R02277,small,0.0
T000170,2025-07-02,Wednesday,16,S00022,130,26,by_card,external_card,,small,
T000171,2025-05-30,Friday,11,S00022,130,26,by_qr,new_registration,R02697,large,0.0
T000172,2025-06-06,Friday,17,S00022,130,26,by_phone,paynet_user,R01807,medium,
T000173,2025-04-09,Wednesday,16,S00022,130,26,by_phone,paynet_user,R01107,small,
T000174,2025-07-30,Wednesday,19,S00022,130,26,by_card,external_card,,small,
T000175,2025-08-15,Friday,13,S00022,130,26,by_card,external_card,,small,
T000176,2025-07-04,Friday,15,S00022,130,26,by_card,external_card,,medium,
T000177,2025-06-20,Friday,12,S00022,130,26,by_card,external_card,,large,
T000178,2025-04-22,Tuesday,19,S00022,130,26,by_card,paynet_user,R01709,large,
T000179,2025-08-01,Friday,15,S00022,130,26,by_card,new_registration,R03603,small,0.0
T000180,2025-06-09,Monday,17,S00022,130,26,by_card,external_card,,medium,
T000181,2025-07-11,Friday,9,S00022,130,26,by_card,external_card,,medium,
T000182,2025-09-15,Monday,19,S00023,184,40,by_card,external_card,,small,
T000183,2025-07-15,Tuesday,16,S00023,184,40,by_card,external_card,,small,
T000184,2025-07-31,Thursday,14,S00023,184,40,by_card,external_card,,large,
T000185,2025-04-26,Saturday,12,S00023,184,40,by_card,paynet_user,R01892,small,
T000186,2025-06-11,Wednesday,18,S00023,184,40,by_card,external_card,,large,
T000187,2025-07-22,Tuesday,14,S00023,184,40,by_card,external_card,,small,
T000188,2025-06-15,Sunday,16,S00023,184,40,by_card,new_registration,R04255,small,0.0
T000189,2025-04-13,Sunday,16,S00023,184,40,by_card,external_card,,medium,
T000190,2025-04-17,Thursday,18,S00023,184,40,by_card,external_card,,large,
T000191,2025-07-12,Saturday,16,S00023,184,40,by_card,paynet_user,R00091,medium,
T000192,2025-04-29,Tuesday,10,S00023,184,40,by_card,external_card,,medium,
T000193,2025-07-22,Tuesday,20,S00023,184,40,by_card,external_card,,small,
T000194,2025-07-23,Wednesday,22,S00023,184,40,by_card,external_card,,small,
T000195,2025-08-10,Sunday,18,S00023,184,40,by_phone,new_registration,R02981,small,0.0
T000196,2025-08-03,Sunday,13,S00023,184,40,by_card,external_card,,small,
T000197,2025-05-21,Wednesday,8,S00023,184,40,by_card,external_card,,medium,
T000198,2025-06-07,Saturday,17,S00023,184,40,by_card,paynet_user,R01595,large,
T000199,2025-07-13,Sunday,11,S00023,184,40,by_card,external_card,,small,
T000200,2025-09-25,Thursday,16,S00023,184,40,by_card,external_card,,medium,
T000201,2025-04-28,Monday,17,S00023,184,40,by_card,external_card,,medium,
T000202,2025-09-07,Sunday,22,S00023,184,40,by_card,external_card,,small,
T000203,2025-06-03,Tuesday,20,S00023,184,40,by_phone,new_registration,R04690,medium,0.0
T000204,2025-09-28,Sunday,10,S00023,184,40,by_card,external_card,,small,
T000205,2025-08-29,Friday,8,S00023,184,40,by_qr,paynet_user,R01630,small,
T000206,2025-06-30,Monday,21,S00023,184,40,by_card,external_card,,medium,
T000207,2025-06-03,Tuesday,11,S00023,184,40,by_card,external_card,,medium,
T000208,2025-09-09,Tuesday,11,S00024,44,4,by_card,external_card,,medium,
T000209,2025-05-25,Sunday,18,S00025,92,7,by_card,external_card,,small,
T000210,2025-05-27,Tuesday,13,S00025,92,7,by_card,paynet_user,R01763,small,
T000211,2025-07-27,Sunday,16,S00026,172,27,by_card,paynet_user,R01360,medium,
T000212,2025-09-04,Thursday,8,S00026,172,27,by_card,paynet_user,R01690,small,
T000213,2025-05-31,Saturday,11,S00026,172,27,by_card,external_card,,small,
T000214,2025-06-08,Sunday,15,S00026,172,27,by_card,external_card,,medium,
T000215,2025-08-25,Monday,18,S00026,172,27,by_card,paynet_user,R00638,medium,
T000216,2025-05-30,Friday,12,S00026,172,27,by_card,external_card,,small,
T000217,2025-04-10,Thursday,8,S00026,172,27,by_card,paynet_user,R01874,medium,
T000218,2025-04-05,Saturday,18,S00026,172,27,by_card,paynet_user,R01104,small,
T000219,2025-08-09,Saturday,18,S00026,172,27,by_phone,paynet_user,R01518,medium,
T000220,2025-07-19,Saturday,19,S00026,172,27,by_card,paynet_user,R01643,small,
T000221,2025-05-23,Friday,17,S00026,172,27,by_card,external_card,,medium,
T000222,2025-06-01,Sunday,18,S00026,172,27,by_qr,paynet_user,R00657,small,
T000223,2025-05-28,Wednesday,13,S00026,172,27,by_card,paynet_user,R00052,medium,
T000224,2025-04-13,Sunday,17,S00027,7,1,by_card,paynet_user,R00028,small,
T000225,2025-05-24,Saturday,16,S00027,7,1,by_card,external_card,,small,
T000226,2025-05-02,Friday,0,S00028,207,11,by_phone,new_registration,R03881,small,0.0
T000227,2025-08-12,Tuesday,20,S00028,207,11,by_card,paynet_user,R01253,small,
T000228,2025-04-29,Tuesday,14,S00028,207,11,by_card,external_card,,medium,
T000229,2025-06-02,Monday,22,S00028,207,11,by_card,new_registration,R04837,small,0.0
T000230,2025-08-23,Saturday,20,S00028,207,11,by_card,external_card,,medium,
T000231,2025-05-24,Saturday,17,S00028,207,11,by_card,external_card,,small,
T000232,2025-06-22,Sunday,4,S00028,207,11,by_card,external_card,,medium,
T000233,2025-07-26,Saturday,7,S00029,104,4,by_card,paynet_user,R01645,small,
T000234,2025-06-11,Wednesday,22,S00029,104,4,by_card,external_card,,medium,
T000235,2025-08-27,Wednesday,11,S00030,564,35,by_card,external_card,,medium,
T000236,2025-08-06,Wednesday,18,S00030,564,35,by_card,external_card,,small,
T000237,2025-05-11,Sunday,16,S00030,564,35,by_card,external_card,,small,
T000238,2025-09-11,Thursday,21,S00030,564,35,by_card,external_card,,small,
T000239,2025-08-08,Friday,19,S00030,564,35,by_card,new_registration,R02011,medium,0.0
T000240,2025-07-18,Friday,16,S00030,564,35,by_card,external_card,,medium,
T000241,2025-09-02,Tuesday,20,S00030,564,35,by_card,paynet_user,R01045,small,
T000242,2025-05-20,Tuesday,10,S00030,564,35,by_card,external_card,,small,
T000243,2025-08-09,Saturday,13,S00030,564,35,by_card,external_card,,small,
T000244,2025-04-05,Saturday,19,S00030,564,35,by_card,external_card,,large,
T000245,2025-04-20,Sunday,19,S00030,564,35,by_card,external_card,,medium,
T000246,2025-05-24,Saturday,17,S00030,564,35,by_card,external_card,,medium,
T000247,2025-09-15,Monday,15,S00030,564,35,by_card,external_card,,medium,
T000248,2025-07-22,Tuesday,18,S00030,564,35,by_card,external_card,,medium,
T000249,2025-04-15,Tuesday,13,S00030,564,35,by_card,paynet_user,R00700,small,
T000250,2025-04-22,Tuesday,21,S00030,564,35,by_card,external_card,,small,
T000251,2025-06-06,Friday,10,S00030,564,35,by_card,external_card,,large,
T000252,2025-09-30,Tuesday,18,S00030,564,35,by_card,external_card,,medium,
T000253,2025-04-30,Wednesday,16,S00030,564,35,by_card,external_card,,medium,
T000254,2025-08-04,Monday,17,S00030,564,35,by_card,external_card,,small,
T000255,2025-09-18,Thursday,10,S00031,145,3,by_card,paynet_user,R00623,small,
T000256,2025-04-19,Saturday,19,S00031,145,3,by_card,external_card,,medium,
T000257,2025-06-05,Thursday,20,S00031,145,3,by_card,external_card,,small,
T000258,2025-05-02,Friday,13,S00031,145,3,by_card,external_card,,small,
T000259,2025-06-14,Saturday,18,S00031,145,3,by_card,external_card,,small,
T000260,2025-05-23,Friday,13,S00031,145,3,by_card,external_card,,small,
T000261,2025-05-29,Thursday,13,S00032,91,3,by_qr,new_registration,R02998,small,0.0
T000262,2025-06-19,Thursday,13,S00033,12,1,by_card,paynet_user,R00317,medium,
T000263,2025-08-01,Friday,4,S00034,142,7,by_card,external_card,,medium,
T000264,2025-04-15,Tuesday,18,S00034,142,7,by_card,external_card,,medium,
T000265,2025-04-10,Thursday,18,S00034,142,7,by_card,paynet_user,R00542,small,
T000266,2025-06-19,Thursday,10,S00035,41,3,by_card,external_card,,large,
T000267,2025-09-14,Sunday,17,S00035,41,3,by_card,external_card,,small,
T000268,2025-08-12,Tuesday,10,S00035,41,3,by_card,external_card,,medium,
T000269,2025-05-03,Saturday,19,S00035,41,3,by_card,paynet_user,R00486,medium,
T000270,2025-09-19,Friday,15,S00036,110,1,by_card,external_card,,small,
T000271,2025-06-19,Thursday,23,S00036,110,1,by_card,external_card,,small,
T000272,2025-06-25,Wednesday,16,S00036,110,1,by_card,external_card,,medium,
T000273,2025-05-26,Monday,13,S00036,110,1,by_card,paynet_user,R01866,small,
T000274,2025-07-21,Monday,17,S00037,399,28,by_phone,paynet_user,R01281,small,
T000275,2025-04-25,Friday,16,S00037,399,28,by_card,paynet_user,R00695,small,
T000276,2025-09-29,Monday,16,S00037,399,28,by_card,paynet_user,R01480,small,
T000277,2025-08-11,Monday,8,S00037,399,28,by_card,external_card,,small,
T000278,2025-05-01,Thursday,17,S00037,399,28,by_card,external_card,,small,
T000279,2025-08-01,Friday,23,S00037,399,28,by_card,external_card,,small,
T000280,2025-06-08,Sunday,21,S00037,399,28,by_card,external_card,,medium,
T000281,2025-05-11,Sunday,12,S00037,399,28,by_card,paynet_user,R00445,medium,
T000282,2025-06-24,Tuesday,11,S00037,399,28,by_card,paynet_user,R01655,large,
T000283,2025-05-30,Friday,22,S00037,399,28,by_card,external_card,,medium,
T000284,2025-04-16,Wednesday,18,S00037,399,28,by_card,external_card,,small,
T000285,2025-05-21,Wednesday,21,S00037,399,28,by_card,external_card,,medium,
T000286,2025-09-24,Wednesday,20,S00037,399,28,by_card,external_card,,small,
T000287,2025-04-28,Monday,17,S00037,399,28,by_card,paynet_user,R01687,small,
T000288,2025-06-28,Saturday,15,S00037,399,28,by_card,external_card,,small,
T000289,2025-05-06,Tuesday,14,S00037,399,28,by_card,external_card,,small,
T000290,2025-06-12,Thursday,20,S00037,399,28,by_card,paynet_user,R00481,small,
T000291,2025-04-27,Sunday,15,S00037,399,28,by_card,paynet_user,R00325,small,
T000292,2025-07-04,Friday,12,S00037,399,28,by_card,external_card,,small,
T000293,2025-07-27,Sunday,9,S00037,399,28,by_card,paynet_user,R01893,medium,
T000294,2025-08-11,Monday,21,S00037,399,28,by_card,external_card,,small,
T000295,2025-08-26,Tuesday,16,S00037,399,28,by_card,external_card,,medium,
T000296,2025-06-18,Wednesday,21,S00037,399,28,by_card,external_card,,small,
T000297,2025-04-04,Friday,11,S00038,97,10,by_card,external_card,,small,
T000298,2025-07-17,Thursday,17,S00038,97,10,by_card,paynet_user,R00898,medium,
T000299,2025-08-09,Saturday,11,S00038,97,10,by_card,paynet_user,R01837,small,
T000300,2025-05-15,Thursday,18,S00038,97,10,by_card,paynet_user,R01259,small,
T000301,2025-08-06,Wednesday,17,S00039,174,7,by_card,external_card,,small,
T000302,2025-07-26,Saturday,13,S00039,174,7,by_card,paynet_user,R01288,medium,
T000303,2025-08-16,Saturday,21,S00039,174,7,by_card,external_card,,medium,
T000304,2025-07-26,Saturday,14,S00039,174,7,by_card,external_card,,small,
T000305,2025-04-29,Tuesday,15,S00039,174,7,by_card,external_card,,small,
T000306,2025-07-19,Saturday,21,S00040,168,35,by_card,external_card,,medium,
T000307,2025-09-05,Friday,19,S00040,168,35,by_card,external_card,,medium,
T000308,2025-08-06,Wednesday,22,S00040,168,35,by_card,external_card,,small,
T000309,2025-07-09,Wednesday,11,S00040,168,35,by_card,external_card,,small,
T000310,2025-07-05,Saturday,9,S00040,168,35,by_card,external_card,,medium,
T000311,2025-05-11,Sunday,18,S00040,168,35,by_card,external_card,,medium,
T000312,2025-09-07,Sunday,15,S00040,168,35,by_card,external_card,,small,
T000313,2025-06-13,Friday,18,S00040,168,35,by_card,paynet_user,R01075,small,
T000314,2025-06-09,Monday,20,S00040,168,35,by_card,external_card,,small,
T000315,2025-08-23,Saturday,18,S00040,168,35,by_card,external_card,,small,
T000316,2025-09-11,Thursday,9,S00040,168,35,by_card,external_card,,small,
T000317,2025-04-27,Sunday,13,S00040,168,35,by_card,external_card,,small,
T000318,2025-09-23,Tuesday,17,S00040,168,35,by_card,external_card,,small,
T000319,2025-09-14,Sunday,10,S00040,168,35,by_phone,new_registration,R02549,large,0.0
T000320,2025-09-21,Sunday,7,S00040,168,35,by_card,paynet_user,R00756,large,
T000321,2025-08-09,Saturday,17,S00040,168,35,by_phone,paynet_user,R00670,medium,
T000322,2025-09-04,Thursday,11,S00040,168,35,by_phone,paynet_user,R00259,large,
T000323,2025-05-16,Friday,21,S00040,168,35,by_card,external_card,,small,
T000324,2025-06-19,Thursday,18,S00040,168,35,by_card,paynet_user,R00091,small,
T000325,2025-05-05,Monday,14,S00040,168,35,by_card,external_card,,small,
T000326,2025-04-11,Friday,20,S00040,168,35,by_card,paynet_user,R00716,medium,
T000327,2025-09-28,Sunday,9,S00040,168,35,by_card,paynet_user,R01220,small,
T000328,2025-04-23,Wednesday,12,S00041,380,13,by_card,paynet_user,R00505,medium,
T000329,2025-08-22,Friday,14,S00041,380,13,by_card,external_card,,small,
T000330,2025-08-15,Friday,17,S00041,380,13,by_card,external_card,,medium,
T000331,2025-08-12,Tuesday,13,S00041,380,13,by_card,external_card,,medium,
T000332,2025-09-12,Friday,19,S00041,380,13,by_card,external_card,,medium,
T000333,2025-07-20,Sunday,17,S00041,380,13,by_card,paynet_user,R00959,medium,
T000334,2025-08-12,Tuesday,12,S00041,380,13,by_card,new_registration,R02011,small,0.0
T000335,2025-06-18,Wednesday,9,S00042,176,9,by_card,paynet_user,R01056,large,
T000336,2025-06-05,Thursday,19,S00042,176,9,by_card,new_registration,R03219,medium,0.0
T000337,2025-04-07,Monday,21,S00042,176,9,by_card,external_card,,small,
T000338,2025-04-10,Thursday,13,S00042,176,9,by_card,external_card,,small,
T000339,2025-05-07,Wednesday,18,S00042,176,9,by_phone,paynet_user,R01577,small,
T000340,2025-07-10,Thursday,18,S00042,176,9,by_card,external_card,,large,
T000341,2025-08-31,Sunday,13,S00043,327,10,by_card,external_card,,small,
